id	source	langauge	query	souce_id	url	signature
1106	leetcodeTitles	python	Reorganize String	767	https://leetcode.com/problems/reorganize-string/	"def reorganizeString(self, s):"
1107	leetcodeTitles	python	Power of Two	231	https://leetcode.com/problems/power-of-two/	"def isPowerOfTwo(self, n):"
1108	leetcodeTitles	python	Check if the Sentence is Pangram	1832	https://leetcode.com/problems/check-if-the-sentence-is-pangram/	"def checkIfPangram(self, sentence):"
1109	leetcodeTitles	python	Intersection of Two Arrays II	350	https://leetcode.com/problems/intersection-of-two-arrays-ii/	"def intersect(self, nums1, nums2):"
1110	leetcodeTitles	python	Successful Pairs of Spells and Potions	2300	https://leetcode.com/problems/successful-pairs-of-spells-and-potions/	"def successfulPairs(self, spells, potions, success):"
1111	leetcodeTitles	python	Convert Number to Hexadecimal	405	https://leetcode.com/problems/convert-a-number-to-hexadecimal/	"def toHex(self, num):"
1112	leetcodeTitles	python	Jewels and Stones	771	https://leetcode.com/problems/jewels-and-stones/	"def numJewelsInStones(self, jewels, stones):"
1113	leetcodeTitles	python	Subtree of Another Tree	572	https://leetcode.com/problems/subtree-of-another-tree//	"def isSubtree(self, root, subRoot):"
1114	leetcodeTitles	python	Minimum Difference Between Highest and Lowest of K Scores	1984	https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/	"def minimumDifference(self, nums, k):"
1115	leetcodeTitles	python	Number of Days Between Two Dates	1360	https://leetcode.com/problems/number-of-days-between-two-dates/	"def daysBetweenDates(self, date1, date2):"
1116	leetcodeTitles	python	House Robber	198	https://leetcode.com/problems/house-robber/	"def rob(self, nums):"
1117	leetcodeTitles	python	Super Ugly Number	313	https://leetcode.com/problems/super-ugly-number/	"def nthSuperUglyNumber(self, n, primes):"
1118	leetcodeTitles	python	Maximum Square	221	https://leetcode.com/problems/maximal-square/	"def maximalSquare(self, matrix):"
1119	leetcodeTitles	python	Maximum XOR of Two Numbers in an Array	421	https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/	"def findMaximumXOR(self, nums):"
1120	leetcodeTitles	python	Maximum Subarray	53	https://leetcode.com/problems/maximum-subarray/	"def maxSubArray(self, nums):"
1121	leetcodeTitles	python	Shuffle String	1528	https://leetcode.com/problems/shuffle-string/	"def restoreString(self, s, indices):"
1122	leetcodeTitles	python	Reverse Substrings Between Each Pair of Parentheses	1190	https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/	"def reverseParentheses(self, s):"
1123	leetcodeTitles	python	Minimum Falling Path Sum	931	https://leetcode.com/problems/minimum-falling-path-sum/	"def minFallingPathSum(self, matrix):"
1124	leetcodeTitles	python	Check If All 1's Are at Least Length K Places Away	1437	https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/	"def kLengthApart(self, nums, k):"
1125	leetcodeTitles	python	Maximum Length of Pair Chain	646	https://leetcode.com/problems/maximum-length-of-pair-chain/	"def findLongestChain(self, pairs):"
1126	leetcodeTitles	python	Array Partition	561	https://leetcode.com/problems/array-partition/	"def arrayPairSum(self, nums):"
1127	leetcodeTitles	python	Contains Duplicate II	219	https://leetcode.com/problems/contains-duplicate-ii/	"def containsNearbyDuplicate(self, nums, k):"
1128	leetcodeTitles	python	Determine Whether Matrix Can Be Obtained By Rotation	1886	https://leetcode.com/problems/determine-whether-matrix-can-be-obtained-by-rotation/	"def findRotation(self, mat, target):"
1129	leetcodeTitles	python	Count Submatrices With All Ones	1504	https://leetcode.com/problems/count-submatrices-with-all-ones/	"def numSubmat(self, mat):"
1130	leetcodeTitles	python	Pseudo-Palindromic Paths in a Binary Tree	1457	https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/	"def pseudoPalindromicPaths (self, root):"
1131	leetcodeTitles	python	Univalued Binary Tree	965	https://leetcode.com/problems/univalued-binary-tree/	"def isUnivalTree(self, root):"
1132	leetcodeTitles	python	Destroying Asteroids	2126	https://leetcode.com/problems/destroying-asteroids/	"def asteroidsDestroyed(self, mass, asteroids):"
1133	leetcodeTitles	python	Subsets II	90	https://leetcode.com/problems/subsets-ii/	"def subsetsWithDup(self, nums):"
1134	leetcodeTitles	python	Find Words That Can Be Formed by Characters	1160	https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/	"def countCharacters(self, words, chars):"
1135	leetcodeTitles	python	Longest Increasing Subsequence	300	https://leetcode.com/problems/longest-increasing-subsequence/	"def lengthOfLIS(self, nums):"
1136	leetcodeTitles	python	Subarray Sums Divisible by K	974	https://leetcode.com/problems/subarray-sums-divisible-by-k/	"def subarraysDivByK(self, nums, k):"
1137	leetcodeTitles	python	Minimum Absolute Difference in BST	530	https://leetcode.com/problems/minimum-absolute-difference-in-bst/	"def getMinimumDifference(self, root):"
1138	leetcodeTitles	python	Largest Number At Least Twice of Others	747	https://leetcode.com/problems/largest-number-at-least-twice-of-others/	"def dominantIndex(self, nums):"
1139	leetcodeTitles	python	To Lower Case	709	https://leetcode.com/problems/to-lower-case/	"def toLowerCase(self, s):"
1140	leetcodeTitles	python	Running Sum of 1d Array	1480	https://leetcode.com/problems/running-sum-of-1d-array/	"def runningSum(self, nums):"
1141	leetcodeTitles	python	Thousand Separator	1556	https://leetcode.com/problems/thousand-separator/	"def thousandSeparator(self, n):"
1142	leetcodeTitles	python	The kth Factor of n	1492	https://leetcode.com/problems/the-kth-factor-of-n/	"def kthFactor(self, n, k):"
1143	leetcodeTitles	python	Binary Tree Paths	257	https://leetcode.com/problems/binary-tree-paths/	"def binaryTreePaths(self, root):"
1144	leetcodeTitles	python	Number of Islands	200	https://leetcode.com/problems/number-of-islands/	"def numIslands(self, grid):"
1145	leetcodeTitles	python	Sequential Digits	1291	https://leetcode.com/problems/sequential-digits/	"def sequentialDigits(self, low, high):"
1146	leetcodeTitles	python	Longest Univalue Path	687	https://leetcode.com/problems/longest-univalue-path/	"def longestUnivaluePath(self, root):"
1147	leetcodeTitles	python	Minimum Operations to Reduce X to Zero	1658	https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/	"def minOperations(self, nums, x):"
1148	leetcodeTitles	python	Shortest Unsorted Continuous Subarray	581	https://leetcode.com/problems/shortest-unsorted-continuous-subarray/	"def findUnsortedSubarray(self, nums):"
1149	leetcodeTitles	python	Reverse String	344	https://leetcode.com/problems/reverse-string/	"def reverseString(self, s):"
1150	leetcodeTitles	python	Find Bottom Left Tree Value	513	https://leetcode.com/problems/find-bottom-left-tree-value/	"def findBottomLeftValue(self, root):"
1151	leetcodeTitles	python	Minimum Time Difference	539	https://leetcode.com/problems/minimum-time-difference/	"def findMinDifference(self, timePoints):"
1152	leetcodeTitles	java	Valid Anagram	242	https://leetcode.com/problems/valid-anagram/	"public boolean isAnagram(String s, String t) {"
1153	leetcodeTitles	java	Keys and Rooms	841	https://leetcode.com/problems/keys-and-rooms/	"public boolean canVisitAllRooms(List<List<Integer>> rooms) {"
1154	leetcodeTitles	java	Complement of Base 10 Integer	1009	https://leetcode.com/problems/complement-of-base-10-integer/	"public int bitwiseComplement(int n) {"
1155	leetcodeTitles	java	Remove Duplicates from Sorted List II	82	https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/	"public ListNode deleteDuplicates(ListNode head) {"
1156	leetcodeTitles	java	Pascal's Triangle II	119	https://leetcode.com/problems/pascals-triangle-ii/	"public List<Integer> getRow(int rowIndex) {"
1157	leetcodeTitles	java	Stock Price Fluctuation	2034	https://leetcode.com/problems/stock-price-fluctuation/	"public void update(int timestamp, int price) {"
1158	leetcodeTitles	java	All Ancestors of a Node in a Directed Acyclic Graph	2192	https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/	"public List<List<Integer>> getAncestors(int n, int[][] edges) {"
1159	leetcodeTitles	java	Make Sum Divisible by P	1590	https://leetcode.com/problems/make-sum-divisible-by-p/	"public int minSubarray(int[] nums, int p) {"
1160	leetcodeTitles	java	Generate Random Point in a Circle	478	https://leetcode.com/problems/generate-random-point-in-a-circle/	"public double[] randPoint() {"
1161	leetcodeTitles	java	Adding Two Negabinary Numbers	1073	https://leetcode.com/problems/adding-two-negabinary-numbers/	"public int[] addNegabinary(int[] arr1, int[] arr2) {"
1162	leetcodeTitles	java	Linked List Components	817	https://leetcode.com/problems/linked-list-components/	"public int numComponents(ListNode head, int[] nums) {"
1163	leetcodeTitles	java	Display Table of Food Orders in a Restaurant	1418	https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/	"public List<List<String>> displayTable(List<List<String>> orders) {"
1164	leetcodeTitles	java	Statistics from a Large Sample	1093	https://leetcode.com/problems/statistics-from-a-large-sample/	"public double[] sampleStats(int[] count) {"
1165	leetcodeTitles	java	Keyboard Row	500	https://leetcode.com/problems/keyboard-row/	"public String[] findWords(String[] words) {"
1166	leetcodeTitles	java	Construct the Lexicographically Largest Valid Sequence	1718	https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/	"public int[] constructDistancedSequence(int n) {"
1167	leetcodeTitles	java	Plus One	66	https://leetcode.com/problems/plus-one/	"public int[] plusOne(int[] digits) {"
1168	leetcodeTitles	java	Coordinate With Maximum Network Quality	1620	https://leetcode.com/problems/coordinate-with-maximum-network-quality/	"public int[] bestCoordinate(int[][] towers, int radius) {"
1169	leetcodeTitles	java	Number of Good Ways to Split a String	1525	https://leetcode.com/problems/number-of-good-ways-to-split-a-string/	"public int numSplits(String s) {"
1170	leetcodeTitles	java	Binary Search Tree Iterator	173	https://leetcode.com/problems/binary-search-tree-iterator/	"public int next() {"
1171	leetcodeTitles	java	Minimum Operations to Make a Uni-Value Grid	2033	https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/	"public int minOperations(int[][] grid, int x) {"
1172	leetcodeTitles	java	Construct Binary Search Tree from Preorder Traversal	1008	https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/	"public TreeNode bstFromPreorder(int[] preorder) {"
1173	leetcodeTitles	java	Divisor Game	1025	https://leetcode.com/problems/divisor-game/	"public boolean divisorGame(int n) {"
1174	leetcodeTitles	java	Validate Stack Sequences	946	https://leetcode.com/problems/validate-stack-sequences/	"public boolean validateStackSequences(int[] pushed, int[] popped) {"
1175	leetcodeTitles	java	Find the Middle Index in Array	1991	https://leetcode.com/problems/find-the-middle-index-in-array/	"public int findMiddleIndex(int[] nums) {"
1176	leetcodeTitles	java	Minimum Deletions to Make Array Beautiful	2216	https://leetcode.com/problems/minimum-deletions-to-make-array-beautiful/	"public int minDeletion(int[] nums) {"
1177	leetcodeTitles	java	Count Asterisks	2315	https://leetcode.com/problems/count-asterisks/	"public int countAsterisks(String s) {"
1178	leetcodeTitles	java	Check if a Parentheses String Can be Valid	2116	https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/	"public boolean canBeValid(String s, String locked) {"
1179	leetcodeTitles	java	Partition Array Into Three Parts With Equal Sum	1013	https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/	"public boolean canThreePartsEqualSum(int[] arr) {"
1180	leetcodeTitles	java	H-Index II	275	https://leetcode.com/problems/h-index-ii/	"public int hIndex(int[] citations) {"
1181	leetcodeTitles	java	Maximum Nesting Depth of Two Valid Parentheses Strings	1111	https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings/	"public int[] maxDepthAfterSplit(String seq) {"
1182	leetcodeTitles	java	Eliminate Maximum Number of Monsters	1921	https://leetcode.com/problems/eliminate-maximum-number-of-monsters/	"public int eliminateMaximum(int[] dist, int[] speed) {"
1183	leetcodeTitles	java	Minimum Path Cost in a Grid	2304	https://leetcode.com/problems/minimum-path-cost-in-a-grid/	"public int minPathCost(int[][] grid, int[][] moveCost) {"
1184	leetcodeTitles	java	Shortest Path with Alternating Colors	1129	https://leetcode.com/problems/shortest-path-with-alternating-colors/	"public int[] shortestAlternatingPaths(int n, int[][] redEdges, int[][] blueEdges) {"
1185	leetcodeTitles	java	Maximum Number of Occurrences of a Substring	1297	https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/	"public int maxFreq(String s, int maxLetters, int minSize, int maxSize) {"
1186	leetcodeTitles	java	Lowest Common Ancestor of a Binary Tree	236	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/	"public TreeNode lowestCommonAncestor(TreeNode root, TreeNode p, TreeNode q) {"
1187	leetcodeTitles	java	Word Search	79	https://leetcode.com/problems/word-search/	"public boolean exist(char[][] board, String word) {"
1188	leetcodeTitles	java	Minimum Deletions to Make String Balanced	1653	https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/	"public int minimumDeletions(String s) {"
1189	leetcodeTitles	java	Number of Steps to Reduce a Number in Binary Representation to One	1404	https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/	"public int numSteps(String s) {"
1190	leetcodeTitles	java	Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts	1465	https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/	"public int maxArea(int h, int w, int[] horizontalCuts, int[] verticalCuts) {"
1191	leetcodeTitles	java	Reverse Nodes in Even Length Groups	2074	https://leetcode.com/problems/reverse-nodes-in-even-length-groups/	"public ListNode reverseEvenLengthGroups(ListNode head) {"
1192	leetcodeTitles	java	Merge in Between Linked Lists	1669	https://leetcode.com/problems/merge-in-between-linked-lists/	"public ListNode mergeInBetween(ListNode list1, int a, int b, ListNode list2) {"
1193	leetcodeTitles	java	Path with Maximum Probability	1514	https://leetcode.com/problems/path-with-maximum-probability/	"public double maxProbability(int n, int[][] edges, double[] succProb, int start, int end) {"
1194	leetcodeTitles	java	Remove Linked List Elements	203	https://leetcode.com/problems/remove-linked-list-elements/	"public ListNode removeElements(ListNode head, int val) {"
1195	leetcodeTitles	java	Find the Highest Altitude	1732	https://leetcode.com/problems/find-the-highest-altitude//	"public int largestAltitude(int[] gain) {"
1196	leetcodeTitles	java	Ugly Number III	1201	https://leetcode.com/problems/ugly-number-iii/	"public int nthUglyNumber(int n, int a, int b, int c) {"
1197	leetcodeTitles	java	Increasing Order Search Tree	897	https://leetcode.com/problems/increasing-order-search-tree/	"public TreeNode increasingBST(TreeNode root) {"
1198	leetcodeTitles	java	Maximum Population Year	1854	https://leetcode.com/problems/maximum-population-year/	"public int maximumPopulation(int[][] logs) {"
1199	leetcodeTitles	java	Minimum Lines to Represent a Line Chart	2280	https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/	"public int minimumLines(int[][] stockPrices) {"
1200	leetcodeTitles	java	Generate a String With Characters That Have Odd Counts	1374	https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/	"public String generateTheString(int n) {"
1201	leetcodeTitles	java	All Possible Full Binary Trees	894	https://leetcode.com/problems/all-possible-full-binary-trees/	"public List<TreeNode> allPossibleFBT(int n) {"
1202	leetcodeTitles	java	Find All Lonely Number in the Array	2150	https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/	"public List<Integer> findLonely(int[] nums) {"
1203	leetcodeTitles	java	Bitwise ORs of Subarrays	898	https://leetcode.com/problems/bitwise-ors-of-subarrays/	"public int subarrayBitwiseORs(int[] arr) {"
1204	leetcodeTitles	java	Basic Calculator II	227	https://leetcode.com/problems/basic-calculator-ii/	"public int jump(int[] nums) {"
1205	leetcodeTitles	java	Minimum Sum of Four Digit Number After Splitting Digits	2160	https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/	"public int minimumSum(int num) {"
1206	leetcodeTitles	java	Deepest Leaves Sum	1302	https://leetcode.com/problems/deepest-leaves-sum/	"public int deepestLeavesSum(TreeNode root) {"
1207	leetcodeTitles	java	Minimum Operations to Make Array Equal	1551	https://leetcode.com/problems/minimum-operations-to-make-array-equal/	"public int minOperations(int n) {"
1208	leetcodeTitles	java	Mini Parser	385	https://leetcode.com/problems/mini-parser/	"public NestedInteger deserialize(String s) {"
1209	leetcodeTitles	java	Maximum Number of Balloons	1189	https://leetcode.com/problems/maximum-number-of-balloons/	"public int maxNumberOfBalloons(String text) {"
1210	leetcodeTitles	java	Coin Change 2	518	https://leetcode.com/problems/coin-change-2/	"public int change(int amount, int[] coins) {"
1211	leetcodeTitles	java	Beautiful Arrangement II	667	https://leetcode.com/problems/beautiful-arrangement-ii/	"public int[] constructArray(int n, int k) {"
1212	leetcodeTitles	java	Rectangle Area	223	https://leetcode.com/problems/rectangle-area/	"public int computeArea(int ax1, int ay1, int ax2, int ay2, int bx1, int by1, int bx2, int by2) {"
1213	leetcodeTitles	java	Find Missing Observations	2028	https://leetcode.com/problems/find-missing-observations/	"public int[] missingRolls(int[] rolls, int mean, int n) {"
1214	leetcodeTitles	java	Number of Substrings With Only 1s	1513	https://leetcode.com/problems/number-of-substrings-with-only-1s/	"public int numSub(String s) {"
1215	leetcodeTitles	java	Number of Ways to Split a String	1573	https://leetcode.com/problems/number-of-ways-to-split-a-string/	"public int numWays(String s) {"
1216	leetcodeTitles	java	Container With Most Water	11	https://leetcode.com/problems/container-with-most-water/	"public int maxArea(int[] height) {"
1217	leetcodeTitles	java	Guess Number Higher or Lower	374	https://leetcode.com/problems/guess-number-higher-or-lower/	"public int guessNumber(int n) {"
1218	leetcodeTitles	java	Reverse Vowels of a String	345	https://leetcode.com/problems/reverse-vowels-of-a-string/	"public String reverseVowels(String s) {"
1219	leetcodeTitles	java	Minimum Swaps to Arrange a Binary Grid	1536	https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/	"public int minSwaps(int[][] grid) {"
1220	leetcodeTitles	java	Detonate the Maximum Bombs	2101	https://leetcode.com/problems/detonate-the-maximum-bombs/	"public int maximumDetonation(int[][] bombs) {"
1221	leetcodeTitles	java	Convert Binary Number in a Linked List to Integer	1290	https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/	"public int getDecimalValue(ListNode head) {"
1222	leetcodeTitles	java	Monotonic Array	896	https://leetcode.com/problems/monotonic-array/	"public boolean isMonotonic(int[] nums) {"
1223	leetcodeTitles	java	Find Center of Star Graph	1791	https://leetcode.com/problems/find-center-of-star-graph/	"public int findCenter(int[][] edges) {"
1224	leetcodeTitles	java	Unique Email Addresses	929	https://leetcode.com/problems/unique-email-addresses/	"public int numUniqueEmails(String[] emails) {"
1225	leetcodeTitles	java	The Number of the Smallest Unoccupied Chair	1942	https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/	"public int smallestChair(int[][] times, int targetFriend) {"
1226	leetcodeTitles	java	Where Will the Ball Fall	1706	https://leetcode.com/problems/where-will-the-ball-fall/	"public int[] findBall(int[][] grid) {"
1227	leetcodeTitles	java	Wiggle Sort II	324	https://leetcode.com/problems/wiggle-sort-ii/	"public void wiggleSort(int[] nums) {"
1228	leetcodeTitles	java	Maximum Difference Between Increasing Elements	2016	https://leetcode.com/problems/maximum-difference-between-increasing-elements/	"public int maximumDifference(int[] nums) {"
1229	leetcodeTitles	java	Convert Integer to the Sum of Two No-Zero Integers	1317	https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/	"public int[] getNoZeroIntegers(int n) {"
1230	leetcodeTitles	java	Special Positions in a Binary Matrix	1582	https://leetcode.com/problems/special-positions-in-a-binary-matrix/	"public int numSpecial(int[][] mat) {"
1231	leetcodeTitles	java	Sort Even and Odd Indices Independently	2164	https://leetcode.com/problems/sort-even-and-odd-indices-independently/	"public int[] sortEvenOdd(int[] nums) {"
1232	leetcodeTitles	java	Minimum Number of Operations to Convert Time	2224	https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/	"public int convertTime(String current, String correct) {"
1233	leetcodeTitles	java	New 21 Game	837	https://leetcode.com/problems/new-21-game/	"public double new21Game(int n, int k, int maxPts) {"
1234	leetcodeTitles	java	Simplified Fractions	1447	https://leetcode.com/problems/simplified-fractions/	"public List<String> simplifiedFractions(int n) {"
1235	leetcodeTitles	java	Relative Sort Array	1122	https://leetcode.com/problems/relative-sort-array/	"public int[] relativeSortArray(int[] arr1, int[] arr2) {"
1236	leetcodeTitles	java	N-ary Tree Level Order Traversal	429	https://leetcode.com/problems/n-ary-tree-level-order-traversal/	"public List<List<Integer>> levelOrder(Node root) {"
1237	leetcodeTitles	java	Magical String	481	https://leetcode.com/problems/magical-string/	"public int magicalString(int n) {"
1238	leetcodeTitles	java	Repeated String Match	686	https://leetcode.com/problems/repeated-string-match/	"public int repeatedStringMatch(String a, String b) {"
1239	leetcodeTitles	java	Three Consecutive Odds	1550	https://leetcode.com/problems/three-consecutive-odds/	"public boolean threeConsecutiveOdds(int[] arr) {"
1240	leetcodeTitles	java	3Sum With Multiplicity	923	https://leetcode.com/problems/3sum-with-multiplicity/	"public int threeSumMulti(int[] arr, int target) {"
1241	leetcodeTitles	java	Defuse the Bomb	1652	https://leetcode.com/problems/defuse-the-bomb/	"public int[] decrypt(int[] code, int k) {"
1242	leetcodeTitles	java	Maximum Repeating Substring	1668	https://leetcode.com/problems/maximum-repeating-substring/	"public int maxRepeating(String sequence, String word) {"
1243	leetcodeTitles	java	Search in Rotated Sorted Array	33	https://leetcode.com/problems/search-in-rotated-sorted-array/	"public int search(int[] nums, int target) {"
1244	leetcodeTitles	java	Find And Replace in String	833	https://leetcode.com/problems/find-and-replace-in-string/	"public String findReplaceString(String s, int[] indices, String[] sources, String[] targets) {"
1245	leetcodeTitles	java	Maximum Width Ramp	962	https://leetcode.com/problems/maximum-width-ramp/	"public int maxWidthRamp(int[] nums) {"
1246	leetcodeTitles	java	Calculate Digit Sum of a String	2243	https://leetcode.com/problems/calculate-digit-sum-of-a-string/	"public String digitSum(String s, int k) {"
1247	leetcodeTitles	java	Circle and Rectangle Overlapping	1401	https://leetcode.com/problems/circle-and-rectangle-overlapping/	"public boolean checkOverlap(int radius, int xCenter, int yCenter, int x1, int y1, int x2, int y2) {"
1248	leetcodeTitles	java	Check Wheter Two Strings are Almost Equivalent	2068	https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/	"public boolean checkAlmostEquivalent(String word1, String word2) {"
1249	leetcodeTitles	java	Add Digits	258	https://leetcode.com/problems/add-digits/	"public int addDigits(int num) {"
1250	leetcodeTitles	java	Sum of Subarray Ranges	2104	https://leetcode.com/problems/sum-of-subarray-ranges/	"public long subArrayRanges(int[] nums) {"
1251	leetcodeTitles	java	Greatest Common Divisor of Strings	1071	https://leetcode.com/problems/greatest-common-divisor-of-strings/	"public String gcdOfStrings(String str1, String str2) {"
1252	leetcodeTitles	java	Single Number	136	https://leetcode.com/problems/single-number/	"public int singleNumber(int[] nums) {"
1253	leetcodeTitles	java	Count Items Matching a Rule	1773	https://leetcode.com/problems/count-items-matching-a-rule/	"public int countMatches(List<List<String>> items, String ruleKey, String ruleValue) {"
1254	leetcodeTitles	java	K-diff Pairs in an Array	532	https://leetcode.com/problems/k-diff-pairs-in-an-array/	"public int findPairs(int[] nums, int k) {"
1255	leetcodeTitles	java	Domino and Tromino Tiling	790	https://leetcode.com/problems/domino-and-tromino-tiling/	"public int numTilings(int n) {"
1256	leetcodeTitles	java	Maximum Average Pass Ratio	1792	https://leetcode.com/problems/maximum-average-pass-ratio/	"public double maxAverageRatio(int[][] classes, int extraStudents) {"
1257	leetcodeTitles	java	Remove One Element to Make the Array Strictly Increasing	1909	https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/	"public boolean canBeIncreasing(int[] nums) {"
1258	leetcodeTitles	java	Task Scheduler	621	https://leetcode.com/problems/task-scheduler/	"public int leastInterval(char[] tasks, int n) {"
1259	leetcodeTitles	java	Consecutive Characters	1446	https://leetcode.com/problems/consecutive-characters/	"public int maxPower(String s) {"
1260	leetcodeTitles	java	Count Servers that Communicate	1267	https://leetcode.com/problems/count-servers-that-communicate/	"public int countServers(int[][] grid) {"
1261	leetcodeTitles	java	Minimum Time to Make Rope Colorful	1578	https://leetcode.com/problems/minimum-time-to-make-rope-colorful/	"public int minCost(String colors, int[] neededTime) {"
1262	leetcodeTitles	java	UTF-8 Validation	393	https://leetcode.com/problems/utf-8-validation/	"public boolean validUtf8(int[] data) {"
1263	leetcodeTitles	java	Check If Two String Arrays are Equivalent	1662	https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/	"public boolean arrayStringsAreEqual(String[] word1, String[] word2) {"
1264	leetcodeTitles	java	Find Unique Binary String	1980	https://leetcode.com/problems/find-unique-binary-string/	"public String findDifferentBinaryString(String[] nums) {"
1265	leetcodeTitles	java	Guess Number Higher or Lower II	375	https://leetcode.com/problems/guess-number-higher-or-lower-ii/	"public int getMoneyAmount(int n) {"
1266	leetcodeTitles	java	Binary Tree Level Order Traversal	102	https://leetcode.com/problems/binary-tree-level-order-traversal/	"public List<List<Integer>> levelOrder(TreeNode root) {"
1267	leetcodeTitles	java	Jump Game II	227	https://leetcode.com/problems/jump-game-ii/	"public int jump(int[] nums) {"
1268	leetcodeTitles	java	Convert 1D Array Into 2D Array	2022	https://leetcode.com/problems/convert-1d-array-into-2d-array/	"public int[][] construct2DArray(int[] original, int m, int n) {"
1269	leetcodeTitles	java	Surface Area of 3D Shapes	892	https://leetcode.com/problems/surface-area-of-3d-shapes/	"public int surfaceArea(int[][] grid) {"
1270	leetcodeTitles	java	Maximum Difference Between Node and Ancestor	1026	https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/	"public int maxAncestorDiff(TreeNode root) {"
1271	leetcodeTitles	java	X of a Kind in a Deck of Cards	914	https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/	"public boolean hasGroupsSizeX(int[] deck) {"
1272	leetcodeTitles	java	Count of Matches in Tournament	1688	https://leetcode.com/problems/count-of-matches-in-tournament/	"public int numberOfMatches(int n) {"
1273	leetcodeTitles	java	Largest Substring Between Two Equal Characteres	1624	https://leetcode.com/problems/largest-substring-between-two-equal-characters/	"public int maxLengthBetweenEqualCharacters(String s) {"
1274	leetcodeTitles	java	Remove K Digits	402	https://leetcode.com/problems/remove-k-digits/	"public String removeKdigits(String num, int k) {"
1275	leetcodeTitles	java	Minimum Score Triangulation of Polygon	1039	https://leetcode.com/problems/minimum-score-triangulation-of-polygon/	"public int minScoreTriangulation(int[] values) {"
1276	leetcodeTitles	java	Number of Closed Islands	1254	https://leetcode.com/problems/number-of-closed-islands/	"public int closedIsland(int[][] grid) {"
1277	leetcodeTitles	java	Maximum Number of Non-Overlapping Subarrays With Sum Equals Target	1546	https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/	"public int[] shortestAlternatingPaths(int n, int[][] redEdges, int[][] blueEdges) {"
1278	leetcodeTitles	java	Insufficient Nodes in Root to Leaf Paths	1080	https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/	"public TreeNode sufficientSubset(TreeNode root, int limit) {"
1279	leetcodeTitles	java	Convert to Base -2	1017	https://leetcode.com/problems/convert-to-base-2/	"public String baseNeg2(int n) {"
1280	leetcodeTitles	java	Count Elements With Strictly Smaller and Greater Elements	2148	https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/	"public int countElements(int[] nums) {"
1281	leetcodeTitles	java	Partition Array for Maximum Sum	1043	https://docs.google.com/spreadsheets/d/1MUtHfwbkWO4W69NaNiwv_hgABNfXZu2M69PNgL8PBXs/edit#gid=0	"public int maxSumAfterPartitioning(int[] arr, int k) {"
1282	leetcodeTitles	java	Sum of Numbers With Units Digit K	2310	https://leetcode.com/problems/sum-of-numbers-with-units-digit-k/	"public int minimumNumbers(int num, int k) {"
1283	leetcodeTitles	java	Contains Duplicate	217	https://leetcode.com/problems/contains-duplicate/	"public boolean containsDuplicate(int[] nums) {"
1284	leetcodeTitles	java	Minimum Number of Days to Make m Bouquets	1482	https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/	"public int minDays(int[] bloomDay, int m, int k) {"
