id	source	language	query	source_id	url
1182	leetcodeTitles	java	Eliminate Maximum Number of Monsters	1921	https://leetcode.com/problems/eliminate-maximum-number-of-monsters/
1183	leetcodeTitles	java	Minimum Path Cost in a Grid	2304	https://leetcode.com/problems/minimum-path-cost-in-a-grid/
1184	leetcodeTitles	java	Shortest Path with Alternating Colors	1129	https://leetcode.com/problems/shortest-path-with-alternating-colors/
1185	leetcodeTitles	java	Maximum Number of Occurrences of a Substring	1297	https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/
1186	leetcodeTitles	java	Lowest Common Ancestor of a Binary Tree	236	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
1187	leetcodeTitles	java	Word Search	79	https://leetcode.com/problems/word-search/
1188	leetcodeTitles	java	Minimum Deletions to Make String Balanced	1653	https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/
1189	leetcodeTitles	java	Number of Steps to Reduce a Number in Binary Representation to One	1404	https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/
1190	leetcodeTitles	java	Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts	1465	https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/
1191	leetcodeTitles	java	Reverse Nodes in Even Length Groups	2074	https://leetcode.com/problems/reverse-nodes-in-even-length-groups/
1192	leetcodeTitles	java	Merge in Between Linked Lists	1669	https://leetcode.com/problems/merge-in-between-linked-lists/
1193	leetcodeTitles	java	Path with Maximum Probability	1514	https://leetcode.com/problems/path-with-maximum-probability/
1194	leetcodeTitles	java	Remove Linked List Elements	203	https://leetcode.com/problems/remove-linked-list-elements/
1195	leetcodeTitles	java	Find the Highest Altitude	1732	https://leetcode.com/problems/find-the-highest-altitude//
1196	leetcodeTitles	java	Ugly Number III	1201	https://leetcode.com/problems/ugly-number-iii/
1197	leetcodeTitles	java	Increasing Order Search Tree	897	https://leetcode.com/problems/increasing-order-search-tree/
1198	leetcodeTitles	java	Maximum Population Year	1854	https://leetcode.com/problems/maximum-population-year/
1199	leetcodeTitles	java	Minimum Lines to Represent a Line Chart	2280	https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/
1200	leetcodeTitles	java	Generate a String With Characters That Have Odd Counts	1374	https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/
1201	leetcodeTitles	java	All Possible Full Binary Trees	894	https://leetcode.com/problems/all-possible-full-binary-trees/
1202	leetcodeTitles	java	Find All Lonely Number in the Array	2150	https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/
1203	leetcodeTitles	java	Bitwise ORs of Subarrays	898	https://leetcode.com/problems/bitwise-ors-of-subarrays/
1204	leetcodeTitles	java	Basic Calculator II	227	https://leetcode.com/problems/basic-calculator-ii/
1205	leetcodeTitles	java	Minimum Sum of Four Digit Number After Splitting Digits	2160	https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/
1206	leetcodeTitles	java	Deepest Leaves Sum	1302	https://leetcode.com/problems/deepest-leaves-sum/
1207	leetcodeTitles	java	Minimum Operations to Make Array Equal	1551	https://leetcode.com/problems/minimum-operations-to-make-array-equal/
1208	leetcodeTitles	java	Mini Parser	385	https://leetcode.com/problems/mini-parser/
1209	leetcodeTitles	java	Maximum Number of Balloons	1189	https://leetcode.com/problems/maximum-number-of-balloons/
1210	leetcodeTitles	java	Coin Change 2	518	https://leetcode.com/problems/coin-change-2/
1211	leetcodeTitles	java	Beautiful Arrangement II	667	https://leetcode.com/problems/beautiful-arrangement-ii/
1212	leetcodeTitles	java	Rectangle Area	223	https://leetcode.com/problems/rectangle-area/
1213	leetcodeTitles	java	Find Missing Observations	2028	https://leetcode.com/problems/find-missing-observations/
1214	leetcodeTitles	java	Number of Substrings With Only 1s	1513	https://leetcode.com/problems/number-of-substrings-with-only-1s/
1215	leetcodeTitles	java	Number of Ways to Split a String	1573	https://leetcode.com/problems/number-of-ways-to-split-a-string/
1216	leetcodeTitles	java	Container With Most Water	11	https://leetcode.com/problems/container-with-most-water/
1217	leetcodeTitles	java	Guess Number Higher or Lower	374	https://leetcode.com/problems/guess-number-higher-or-lower/
1218	leetcodeTitles	java	Reverse Vowels of a String	345	https://leetcode.com/problems/reverse-vowels-of-a-string/
1219	leetcodeTitles	java	Minimum Swaps to Arrange a Binary Grid	1536	https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/
1220	leetcodeTitles	java	Detonate the Maximum Bombs	2101	https://leetcode.com/problems/detonate-the-maximum-bombs/
1221	leetcodeTitles	java	Convert Binary Number in a Linked List to Integer	1290	https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/
1222	leetcodeTitles	java	Monotonic Array	896	https://leetcode.com/problems/monotonic-array/
1223	leetcodeTitles	java	Find Center of Star Graph	1791	https://leetcode.com/problems/find-center-of-star-graph/
1224	leetcodeTitles	java	Unique Email Addresses	929	https://leetcode.com/problems/unique-email-addresses/
1225	leetcodeTitles	java	The Number of the Smallest Unoccupied Chair	1942	https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/
1226	leetcodeTitles	java	Where Will the Ball Fall	1706	https://leetcode.com/problems/where-will-the-ball-fall/
1227	leetcodeTitles	java	Wiggle Sort II	324	https://leetcode.com/problems/wiggle-sort-ii/
1228	leetcodeTitles	java	Maximum Difference Between Increasing Elements	2016	https://leetcode.com/problems/maximum-difference-between-increasing-elements/
1229	leetcodeTitles	java	Convert Integer to the Sum of Two No-Zero Integers	1317	https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/
1230	leetcodeTitles	java	Special Positions in a Binary Matrix	1582	https://leetcode.com/problems/special-positions-in-a-binary-matrix/
1231	leetcodeTitles	java	Sort Even and Odd Indices Independently	2164	https://leetcode.com/problems/sort-even-and-odd-indices-independently/
1232	leetcodeTitles	java	Minimum Number of Operations to Convert Time	2224	https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/
1233	leetcodeTitles	java	New 21 Game	837	https://leetcode.com/problems/new-21-game/
1234	leetcodeTitles	java	Simplified Fractions	1447	https://leetcode.com/problems/simplified-fractions/
1235	leetcodeTitles	java	Relative Sort Array	1122	https://leetcode.com/problems/relative-sort-array/
1236	leetcodeTitles	java	N-ary Tree Level Order Traversal	429	https://leetcode.com/problems/n-ary-tree-level-order-traversal/
1237	leetcodeTitles	java	Magical String	481	https://leetcode.com/problems/magical-string/
1238	leetcodeTitles	java	Repeated String Match	686	https://leetcode.com/problems/repeated-string-match/
1239	leetcodeTitles	java	Three Consecutive Odds	1550	https://leetcode.com/problems/three-consecutive-odds/
1240	leetcodeTitles	java	3Sum With Multiplicity	923	https://leetcode.com/problems/3sum-with-multiplicity/
1241	leetcodeTitles	java	Defuse the Bomb	1652	https://leetcode.com/problems/defuse-the-bomb/
1242	leetcodeTitles	java	Maximum Repeating Substring	1668	https://leetcode.com/problems/maximum-repeating-substring/
1243	leetcodeTitles	java	Search in Rotated Sorted Array	33	https://leetcode.com/problems/search-in-rotated-sorted-array/
1244	leetcodeTitles	java	Find And Replace in String	833	https://leetcode.com/problems/find-and-replace-in-string/
1245	leetcodeTitles	java	Maximum Width Ramp	962	https://leetcode.com/problems/maximum-width-ramp/
1246	leetcodeTitles	java	Calculate Digit Sum of a String	2243	https://leetcode.com/problems/calculate-digit-sum-of-a-string/
1247	leetcodeTitles	java	Circle and Rectangle Overlapping	1401	https://leetcode.com/problems/circle-and-rectangle-overlapping/
1248	leetcodeTitles	java	Check Wheter Two Strings are Almost Equivalent	2068	https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/
1249	leetcodeTitles	java	Add Digits	258	https://leetcode.com/problems/add-digits/
1250	leetcodeTitles	java	Sum of Subarray Ranges	2104	https://leetcode.com/problems/sum-of-subarray-ranges/
1251	leetcodeTitles	java	Greatest Common Divisor of Strings	1071	https://leetcode.com/problems/greatest-common-divisor-of-strings/
1252	leetcodeTitles	java	Single Number	136	https://leetcode.com/problems/single-number/
1253	leetcodeTitles	java	Count Items Matching a Rule	1773	https://leetcode.com/problems/count-items-matching-a-rule/
1254	leetcodeTitles	java	K-diff Pairs in an Array	532	https://leetcode.com/problems/k-diff-pairs-in-an-array/
1255	leetcodeTitles	java	Domino and Tromino Tiling	790	https://leetcode.com/problems/domino-and-tromino-tiling/
1256	leetcodeTitles	java	Maximum Average Pass Ratio	1792	https://leetcode.com/problems/maximum-average-pass-ratio/
1257	leetcodeTitles	java	Remove One Element to Make the Array Strictly Increasing	1909	https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/
1258	leetcodeTitles	java	Task Scheduler	621	https://leetcode.com/problems/task-scheduler/
1259	leetcodeTitles	java	Consecutive Characters	1446	https://leetcode.com/problems/consecutive-characters/
1260	leetcodeTitles	java	Count Servers that Communicate	1267	https://leetcode.com/problems/count-servers-that-communicate/
1261	leetcodeTitles	java	Minimum Time to Make Rope Colorful	1578	https://leetcode.com/problems/minimum-time-to-make-rope-colorful/
1262	leetcodeTitles	java	UTF-8 Validation	393	https://leetcode.com/problems/utf-8-validation/
1263	leetcodeTitles	java	Check If Two String Arrays are Equivalent	1662	https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/
1264	leetcodeTitles	java	Find Unique Binary String	1980	https://leetcode.com/problems/find-unique-binary-string/
1265	leetcodeTitles	java	Guess Number Higher or Lower II	375	https://leetcode.com/problems/guess-number-higher-or-lower-ii/
1266	leetcodeTitles	java	Binary Tree Level Order Traversal	102	https://leetcode.com/problems/binary-tree-level-order-traversal/
1267	leetcodeTitles	java	Jump Game II	227	https://leetcode.com/problems/jump-game-ii/
1268	leetcodeTitles	java	Convert 1D Array Into 2D Array	2022	https://leetcode.com/problems/convert-1d-array-into-2d-array/
1269	leetcodeTitles	java	Surface Area of 3D Shapes	892	https://leetcode.com/problems/surface-area-of-3d-shapes/
1270	leetcodeTitles	java	Maximum Difference Between Node and Ancestor	1026	https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/
1271	leetcodeTitles	java	X of a Kind in a Deck of Cards	914	https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/
1272	leetcodeTitles	java	Count of Matches in Tournament	1688	https://leetcode.com/problems/count-of-matches-in-tournament/
1273	leetcodeTitles	java	Largest Substring Between Two Equal Characteres	1624	https://leetcode.com/problems/largest-substring-between-two-equal-characters/
1274	leetcodeTitles	java	Remove K Digits	402	https://leetcode.com/problems/remove-k-digits/
1275	leetcodeTitles	java	Minimum Score Triangulation of Polygon	1039	https://leetcode.com/problems/minimum-score-triangulation-of-polygon/
1276	leetcodeTitles	java	Number of Closed Islands	1254	https://leetcode.com/problems/number-of-closed-islands/
1277	leetcodeTitles	java	Maximum Number of Non-Overlapping Subarrays With Sum Equals Target	1546	https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/
1278	leetcodeTitles	java	Insufficient Nodes in Root to Leaf Paths	1080	https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/
1279	leetcodeTitles	java	Convert to Base -2	1017	https://leetcode.com/problems/convert-to-base-2/
1280	leetcodeTitles	java	Count Elements With Strictly Smaller and Greater Elements	2148	https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/
1281	leetcodeTitles	java	Partition Array for Maximum Sum	1043	https://docs.google.com/spreadsheets/d/1MUtHfwbkWO4W69NaNiwv_hgABNfXZu2M69PNgL8PBXs/edit#gid=0
1282	leetcodeTitles	java	Sum of Numbers With Units Digit K	2310	https://leetcode.com/problems/sum-of-numbers-with-units-digit-k/
1283	leetcodeTitles	java	Contains Duplicate	217	https://leetcode.com/problems/contains-duplicate/
1284	leetcodeTitles	java	Minimum Number of Days to Make m Bouquets	1482	https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
1285	leetcodeTitles	java	Number of Lines To Write String	806	https://leetcode.com/problems/number-of-lines-to-write-string/
1286	leetcodeTitles	java	Set Mismatch	645	https://leetcode.com/problems/set-mismatch/
1287	leetcodeTitles	java	Construct the Rectangle	492	https://leetcode.com/problems/construct-the-rectangle/
1288	leetcodeTitles	java	Group Anagrams	49	https://leetcode.com/problems/group-anagrams/
1289	leetcodeTitles	java	Single Element in a Sorted Array	540	https://leetcode.com/problems/single-element-in-a-sorted-array/
1290	leetcodeTitles	java	Most Visited Sector in a Circular Track	1560	https://leetcode.com/problems/most-visited-sector-in-a-circular-track/
1291	leetcodeTitles	java	Add Strings	415	https://leetcode.com/problems/add-strings/
1292	leetcodeTitles	java	Design Bitset	2166	https://leetcode.com/problems/design-bitset/
1293	leetcodeTitles	java	Out of Boundary Paths	576	https://leetcode.com/problems/out-of-boundary-paths/
1294	leetcodeTitles	java	Check if N and Its Double Exist	1346	https://leetcode.com/problems/check-if-n-and-its-double-exist/
1295	leetcodeTitles	java	Get Equal Substrings Within Budget	1208	https://leetcode.com/problems/get-equal-substrings-within-budget/
1296	leetcodeTitles	java	Number of Restricted Paths From First to Last Node	1786	https://leetcode.com/problems/number-of-restricted-paths-from-first-to-last-node/
1297	leetcodeTitles	java	Unique Paths	62	https://leetcode.com/problems/unique-paths/
1298	leetcodeTitles	java	Combination Sum II	40	https://leetcode.com/problems/combination-sum-ii/
1299	leetcodeTitles	java	Find Target Indices After Sorting Array	2089	https://leetcode.com/problems/find-target-indices-after-sorting-array/
1300	leetcodeTitles	java	Add Binary	67	https://leetcode.com/problems/add-binary/
1301	leetcodeTitles	java	Permutations	46	https://leetcode.com/problems/permutations/
1302	leetcodeTitles	java	Even Odd Tree	1609	https://leetcode.com/problems/even-odd-tree/
1303	leetcodeTitles	java	Broken Calculator	991	https://leetcode.com/problems/broken-calculator/
1304	leetcodeTitles	java	Kth Distinct String in an Array	2053	https://leetcode.com/problems/kth-distinct-string-in-an-array/
1305	leetcodeTitles	java	Find if Path Exists in Graph	1971	https://leetcode.com/problems/find-if-path-exists-in-graph/
1306	leetcodeTitles	java	Excel Sheet Column Number	171	https://leetcode.com/problems/excel-sheet-column-number/
1307	leetcodeTitles	java	Two Sum IV - Input a BST	653	https://leetcode.com/problems/two-sum-iv-input-is-a-bst/
1308	leetcodeTitles	java	Matrix Cells in Distance Order	1030	https://leetcode.com/problems/matrix-cells-in-distance-order/
1309	leetcodeTitles	java	Plates Between Candles	2055	https://leetcode.com/problems/plates-between-candles/
1310	leetcodeTitles	java	Reorder List	143	https://leetcode.com/problems/reorder-list/
1311	leetcodeTitles	java	Restore IP Addresses	93	https://leetcode.com/problems/restore-ip-addresses/
1312	leetcodeTitles	java	Count Primes	204	https://leetcode.com/problems/count-primes/
1313	leetcodeTitles	java	Number of Nodes in the Sub-Tree With the Same Label	1519	https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/
1314	leetcodeTitles	java	Maximum Product of Two Elements in an Array	1464	https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/
1315	leetcodeTitles	java	Most Frequent Subtree Sum	508	https://leetcode.com/problems/most-frequent-subtree-sum/
1316	leetcodeTitles	java	Best Time to Buy and Sell Stock	121	https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
1317	leetcodeTitles	java	Nim Game	292	https://leetcode.com/problems/nim-game/
1318	leetcodeTitles	java	Number of People Aware of a Secret	2327	https://leetcode.com/problems/number-of-people-aware-of-a-secret/
1319	leetcodeTitles	java	Champagne Tower	799	https://leetcode.com/problems/champagne-tower/
1320	leetcodeTitles	java	Remove Palindromic Subsequences	1332	https://leetcode.com/problems/remove-palindromic-subsequences/
1321	leetcodeTitles	java	Delete Columns to Make Sorted II	955	https://leetcode.com/problems/delete-columns-to-make-sorted-ii/
1322	leetcodeTitles	java	Integer Replacement	397	https://leetcode.com/problems/integer-replacement/
1323	leetcodeTitles	java	Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit	1438	https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/
1324	leetcodeTitles	java	Sort Array By Parity II	922	https://leetcode.com/problems/sort-array-by-parity-ii/
1325	leetcodeTitles	java	Maximum Product Subarray	152	https://leetcode.com/problems/maximum-product-subarray/
1326	leetcodeTitles	java	Beautiful Array	932	https://leetcode.com/problems/beautiful-array/
1327	leetcodeTitles	java	Widest Vertical Area Between Two Points Containing No Points	1637	https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/
1328	leetcodeTitles	java	Final Value of Variable After Performing Operations	2011	https://leetcode.com/problems/final-value-of-variable-after-performing-operations/
1329	leetcodeTitles	java	Find the Minimum and Maximum Number of Nodes Between Critical Points	2058	https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/
1330	leetcodeTitles	java	Minimum Operations to Make the Array Alternating	2170	https://leetcode.com/problems/minimum-operations-to-make-the-array-alternating/
1331	leetcodeTitles	java	Execution of All Suffix Instructions Staying in a Grid	2120	https://leetcode.com/problems/execution-of-all-suffix-instructions-staying-in-a-grid/
1332	leetcodeTitles	java	Remove Digit From Number to Maximize Result	2259	https://leetcode.com/problems/remove-digit-from-number-to-maximize-result/
1333	leetcodeTitles	java	Intersection of Two Linked Lists	160	https://leetcode.com/problems/intersection-of-two-linked-lists/
1334	leetcodeTitles	java	Kth Missing Positive Number	1539	https://leetcode.com/problems/kth-missing-positive-number/
1335	leetcodeTitles	java	Largest Perimeter Triangle	976	https://leetcode.com/problems/largest-perimeter-triangle/
1336	leetcodeTitles	java	Apply Discount Every n Orders	1357	https://leetcode.com/problems/apply-discount-every-n-orders/
1337	leetcodeTitles	java	Partition to K Equal Sum Subsets	698	https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
1338	leetcodeTitles	java	Minimum Cost Homecoming of a Robot in a Grid	2087	https://leetcode.com/problems/minimum-cost-homecoming-of-a-robot-in-a-grid/
1339	leetcodeTitles	java	Number of Ways to Split Array	2270	https://leetcode.com/problems/number-of-ways-to-split-array/
1340	leetcodeTitles	java	Keep Multiplying Found Values by Two	2154	https://leetcode.com/problems/keep-multiplying-found-values-by-two/
1341	leetcodeTitles	java	Avoid Flood in The City	1488	https://leetcode.com/problems/avoid-flood-in-the-city/
1342	leetcodeTitles	java	Solve the Equation	640	https://leetcode.com/problems/solve-the-equation/
1343	leetcodeTitles	java	Minimum Elements to Add to Form a Given Sum	1785	https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum/
1344	leetcodeTitles	java	Count the Hidden Sequences	2145	https://leetcode.com/problems/count-the-hidden-sequences/
1345	leetcodeTitles	java	Break a Palindrome	1328	https://leetcode.com/problems/break-a-palindrome/
1346	leetcodeTitles	java	Increasing Subsequences	491	https://leetcode.com/problems/increasing-subsequences/
1347	leetcodeTitles	java	LRU Cache	146	https://leetcode.com/problems/lru-cache/
1348	leetcodeTitles	java	Kth Smallest Element in a Sorted Matrix	378	https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
1349	leetcodeTitles	java	Day of the Year	1154	https://leetcode.com/problems/day-of-the-year/
1350	leetcodeTitles	java	Triangle	120	https://leetcode.com/problems/triangle/
1351	leetcodeTitles	java	Grid Game	2017	https://leetcode.com/problems/grid-game/
1352	leetcodeTitles	java	Longest Consecutive Sequence	128	https://leetcode.com/problems/longest-consecutive-sequence/
1353	leetcodeTitles	java	Excel Sheet Column Title	168	https://leetcode.com/problems/excel-sheet-column-title/
1354	leetcodeTitles	java	Contiguous Array	525	https://leetcode.com/problems/contiguous-array/
1355	leetcodeTitles	java	Maximum Number of Coins You Can Get	1561	https://leetcode.com/problems/maximum-number-of-coins-you-can-get/
1356	leetcodeTitles	java	Lowest Common Ancestor of a Binary Search Tree	235	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
1357	leetcodeTitles	java	Count Prefixes of a Given String	2255	https://leetcode.com/problems/count-prefixes-of-a-given-string/
1358	leetcodeTitles	java	Online Stock Span	901	https://leetcode.com/problems/online-stock-span/
1359	leetcodeTitles	java	Reduce Array Size to The Half	1338	https://leetcode.com/problems/reduce-array-size-to-the-half/
1360	leetcodeTitles	java	Bag of Tokens	948	https://leetcode.com/problems/bag-of-tokens/
1361	leetcodeTitles	java	Check if a Word Occurs As a Prefix of Any Word in a Sentence	1455	https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/
1362	leetcodeTitles	java	Count Lattice Points Inside a Circle	2249	https://leetcode.com/problems/count-lattice-points-inside-a-circle/
1363	leetcodeTitles	java	Sort Integers by The Power Value	1387	https://leetcode.com/problems/sort-integers-by-the-power-value/
1364	leetcodeTitles	java	Move Zeroes	283	https://leetcode.com/problems/move-zeroes/
1365	leetcodeTitles	java	Day of the Week	1185	https://leetcode.com/problems/day-of-the-week/
1366	leetcodeTitles	java	Range Sum Query - Immutable	303	https://leetcode.com/problems/range-sum-query-immutable/
1367	leetcodeTitles	java	Max Consecutive Ones III	1004	https://leetcode.com/problems/max-consecutive-ones-iii/
1368	leetcodeTitles	java	Find the Difference of Two Arrays	2215	https://leetcode.com/problems/find-the-difference-of-two-arrays/
1369	leetcodeTitles	java	Minimum Number of Frogs Croaking	1419	https://leetcode.com/problems/minimum-number-of-frogs-croaking/
1370	leetcodeTitles	java	Continuous Subarray Sum	523	https://leetcode.com/problems/continuous-subarray-sum/
1371	leetcodeTitles	java	Shortest Completing Word	748	https://leetcode.com/problems/shortest-completing-word/
1372	leetcodeTitles	java	Root Equals Sum of Children	2236	https://leetcode.com/problems/root-equals-sum-of-children/
1373	leetcodeTitles	java	Word Break	139	https://leetcode.com/problems/word-break/
1374	leetcodeTitles	java	Iterator for Combination	1286	https://leetcode.com/problems/iterator-for-combination/
1375	leetcodeTitles	java	Range Addition II	598	https://leetcode.com/problems/range-addition-ii/
1376	leetcodeTitles	java	Number of Subsequences That Satisfy the Given Sum Condition	1498	https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/
1377	leetcodeTitles	java	Power of Four	342	https://leetcode.com/problems/power-of-four/
1378	leetcodeTitles	java	Removing Minimum Number of Magic Beans	2172	https://leetcode.com/problems/removing-minimum-number-of-magic-beans/
1379	leetcodeTitles	java	Distribute Coins in Binary Tree	979	https://leetcode.com/problems/distribute-coins-in-binary-tree/
1380	leetcodeTitles	java	Pascal's Triangle	118	https://leetcode.com/problems/pascals-triangle/
1381	leetcodeTitles	java	Find Elements in a Contaminated Binary Tree	1261	https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree/
1382	leetcodeTitles	java	Count Numbers with Unique Digits	357	https://leetcode.com/problems/count-numbers-with-unique-digits/
1383	leetcodeTitles	java	Circulat Array Loop	457	https://leetcode.com/problems/circular-array-loop/
1384	leetcodeTitles	java	Rearrange Spaces Between Words	1592	https://leetcode.com/problems/rearrange-spaces-between-words/
1385	leetcodeTitles	java	Count Square Submatrices with All Ones	1277	https://leetcode.com/problems/count-square-submatrices-with-all-ones/
1386	leetcodeTitles	java	Count the Number of Consistent Strings	1684	https://leetcode.com/problems/count-the-number-of-consistent-strings/
1387	leetcodeTitles	java	Count Triplets That Can Form Two Arrays of Equal XOR	1442	https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor/
1388	leetcodeTitles	java	Count Good Triplets	1534	https://leetcode.com/problems/count-good-triplets/
1389	leetcodeTitles	java	Count Largest Group	1399	https://leetcode.com/problems/count-largest-group/
1390	leetcodeTitles	java	Mirror Reflection	858	https://leetcode.com/problems/mirror-reflection/
1391	leetcodeTitles	java	Replace Words	648	https://leetcode.com/problems/replace-words/
1392	leetcodeTitles	java	Rotate Array	189	https://leetcode.com/problems/rotate-array/
1393	leetcodeTitles	java	Reformat Phone Number	1694	https://leetcode.com/problems/reformat-phone-number/
1394	leetcodeTitles	java	Remove Duplicates from Sorted List	83	https://leetcode.com/problems/remove-duplicates-from-sorted-list/
1395	leetcodeTitles	java	Coin Change	322	https://leetcode.com/problems/coin-change/
1396	leetcodeTitles	java	Leaf-Similar Trees	872	https://leetcode.com/problems/leaf-similar-trees/
1397	leetcodeTitles	java	Maximum Number of Words Found in Sentences	2114	https://leetcode.com/problems/maximum-number-of-words-found-in-sentences/
1398	leetcodeTitles	java	Longest Word in Dictionary Through Deleting	524	https://leetcode.com/problems/longest-word-in-dictionary-through-deleting/
1399	leetcodeTitles	java	Make Two Arrays Equal by Reversing Sub-arrays	1460	https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays/
1400	leetcodeTitles	java	Find Eventual Safe States	802	https://leetcode.com/problems/find-eventual-safe-states/
1401	leetcodeTitles	java	Relative Ranks	506	https://leetcode.com/problems/relative-ranks/
1402	leetcodeTitles	java	Number of Dice Rolls With Target Sum	1157	https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/
1403	leetcodeTitles	java	Largest Time for Given Digits	949	https://leetcode.com/problems/largest-time-for-given-digits/
1404	leetcodeTitles	java	Flood Fill	733	https://leetcode.com/problems/flood-fill/
1405	leetcodeTitles	java	Flip String to Monotone Increasing	926	https://leetcode.com/problems/flip-string-to-monotone-increasing/
1406	leetcodeTitles	java	Spiral Matrix	54	https://leetcode.com/problems/spiral-matrix/
1407	leetcodeTitles	java	Split Array into Fibonacci Sequence	842	https://leetcode.com/problems/split-array-into-fibonacci-sequence/
1408	leetcodeTitles	java	Two Sum II - Input Array is Sorted	167	https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
1409	leetcodeTitles	java	Water Bottles	1518	https://leetcode.com/problems/water-bottles/
1410	leetcodeTitles	java	Check if All A's Appears Before All B's	2124	https://leetcode.com/problems/check-if-all-as-appears-before-all-bs/
1411	leetcodeTitles	java	Lemonae Change	860	https://leetcode.com/problems/lemonade-change/
1412	leetcodeTitles	java	Squares of a Sorted Array	977	https://leetcode.com/problems/squares-of-a-sorted-array/
1413	leetcodeTitles	java	Smallest Range I	908	https://leetcode.com/problems/smallest-range-i/
1414	leetcodeTitles	java	N-th Tribonacci Number	1137	https://leetcode.com/problems/n-th-tribonacci-number/
1415	leetcodeTitles	java	Number of Matching Subsequences	792	https://leetcode.com/problems/number-of-matching-subsequences/
1416	leetcodeTitles	java	Percentage of Letter in String	2278	https://leetcode.com/problems/percentage-of-letter-in-string/
1417	leetcodeTitles	java	Splitting a String Into Descending Consecutive Values	1849	https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/
1418	leetcodeTitles	java	Merge Two Sorted Lists	21	https://leetcode.com/problems/merge-two-sorted-lists/
1419	leetcodeTitles	java	Length of Last Word	58	https://leetcode.com/problems/length-of-last-word/
1420	leetcodeTitles	java	Pow(x, n)	50	https://leetcode.com/problems/powx-n/
1421	leetcodeTitles	java	Reconstruct Original Digits from English	423	https://leetcode.com/problems/reconstruct-original-digits-from-english/
1422	leetcodeTitles	java	Maximum Length of Subarray With Positive Product	1567	https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/
1423	leetcodeTitles	java	N-ary Tree Postorder Traversal	590	https://leetcode.com/problems/n-ary-tree-postorder-traversal/
1424	leetcodeTitles	java	Removing Minimum Number of Magic Beans	2171	https://leetcode.com/problems/removing-minimum-number-of-magic-beans/
1425	leetcodeTitles	java	Minimum Limit of Balls in a Bag	1760	https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/
1426	leetcodeTitles	java	4Sum	18	https://leetcode.com/problems/4sum/
1427	leetcodeTitles	java	Maximum Split of Positive Even Integers	2178	https://leetcode.com/problems/maximum-split-of-positive-even-integers/
1428	leetcodeTitles	java	Odd Even Linked List	328	https://leetcode.com/problems/odd-even-linked-list/
1429	leetcodeTitles	java	Clone Graph	133	https://leetcode.com/problems/clone-graph/
1430	leetcodeTitles	java	Binary Tree Level Order Traversal II	107	https://leetcode.com/problems/binary-tree-level-order-traversal-ii/
