id	source	langauge	query	souce_id	url
1042	leetcodeTitles	python	Minimum Limit of Balls in a Bag	1760	https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/
1043	leetcodeTitles	python	4Sum	18	https://leetcode.com/problems/4sum/
1044	leetcodeTitles	python	Maximum Split of Positive Even Integers	2178	https://leetcode.com/problems/maximum-split-of-positive-even-integers/
1045	leetcodeTitles	python	Odd Even Linked List	328	https://leetcode.com/problems/odd-even-linked-list/
1046	leetcodeTitles	python	Clone Graph	133	https://leetcode.com/problems/clone-graph/
1047	leetcodeTitles	python	Binary Tree Level Order Traversal II	107	https://leetcode.com/problems/binary-tree-level-order-traversal-ii/
1048	leetcodeTitles	python	Build Array from Permutation	1920	https://leetcode.com/problems/build-array-from-permutation/
1049	leetcodeTitles	python	Student Attendance Record I	551	https://leetcode.com/problems/student-attendance-record-i/
1050	leetcodeTitles	python	Get Watched Videos by Your Friends	1311	https://leetcode.com/problems/get-watched-videos-by-your-friends/
1051	leetcodeTitles	python	Prime Arangements	1175	https://leetcode.com/problems/prime-arrangements/
1052	leetcodeTitles	python	Middle of the Linked List	876	https://leetcode.com/problems/middle-of-the-linked-list/
1053	leetcodeTitles	python	Count Number of Maximum Bitwise-OR Subsets	2044	https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/
1054	leetcodeTitles	python	Mean of Array After Removing Some Elements	1619	https://leetcode.com/problems/mean-of-array-after-removing-some-elements/
1055	leetcodeTitles	python	Throne Inheritance	1600	https://leetcode.com/problems/throne-inheritance/
1056	leetcodeTitles	python	Integer Break	343	https://leetcode.com/problems/integer-break/
1057	leetcodeTitles	python	Daily Temperatura	739	https://leetcode.com/problems/daily-temperatures/
1058	leetcodeTitles	python	Decrease Elements To Make Array Zigzag	1144	https://leetcode.com/problems/decrease-elements-to-make-array-zigzag/
1059	leetcodeTitles	python	Count Unhappy Friends	1583	https://leetcode.com/problems/count-unhappy-friends/
1060	leetcodeTitles	python	Find N Unique Integers Sum up to Zero	1304	https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/
1061	leetcodeTitles	python	Delete Node in a BST	450	https://leetcode.com/problems/delete-node-in-a-bst/
1062	leetcodeTitles	python	Number of Segments in a String	434	https://leetcode.com/problems/number-of-segments-in-a-string/
1063	leetcodeTitles	python	Count Special Quadruplets	1995	https://leetcode.com/problems/count-special-quadruplets/
1064	leetcodeTitles	python	Valid Palindrome	125	https://leetcode.com/problems/valid-palindrome/
1065	leetcodeTitles	python	Remove Outermost Parentheses	1021	https://leetcode.com/problems/remove-outermost-parentheses/
1066	leetcodeTitles	python	Minimum Time to Type Word Using Special Typewriter	1974	https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/
1067	leetcodeTitles	python	Append K Integers With Minimal Sum	2195	https://leetcode.com/problems/append-k-integers-with-minimal-sum/
1068	leetcodeTitles	python	Maximum Depth of Binary Tree	1993	https://leetcode.com/problems/operations-on-tree/
1069	leetcodeTitles	python	Maximum Earnings From Taxi	2008	https://leetcode.com/problems/maximum-earnings-from-taxi/
1070	leetcodeTitles	python	Bitwise AND of Numbers Range	201	https://leetcode.com/problems/bitwise-and-of-numbers-range/
1071	leetcodeTitles	python	Next Greater Numerically Balanced Number	2048	https://leetcode.com/problems/next-greater-numerically-balanced-number/
1072	leetcodeTitles	python	Number of Ways to Buy Pens and Pencils	2240	https://leetcode.com/problems/number-of-ways-to-buy-pens-and-pencils/
1073	leetcodeTitles	python	Maximum Number of Consecutive Values You Can Make	1798	https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make/
1074	leetcodeTitles	python	Rotate List	61	https://leetcode.com/problems/rotate-list/
1075	leetcodeTitles	python	Find Three Consecutive Integers That Sum to a Given Number	2177	https://leetcode.com/problems/find-three-consecutive-integers-that-sum-to-a-given-number/
1076	leetcodeTitles	python	Jump Game VI	1696	https://leetcode.com/problems/jump-game-vi/
1077	leetcodeTitles	python	Merge Strings Alternately	1768	https://leetcode.com/problems/merge-strings-alternately/
1078	leetcodeTitles	python	Minimum Value to Get Positive Step by Step Sum	1413	https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum/
1079	leetcodeTitles	python	Count Equal and Divisible Pairs in an Array	2176	https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/
1080	leetcodeTitles	python	Minimum Moves to Equal Array Elements II	462	https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/
1081	leetcodeTitles	python	Greatest English Letter in Upper and Lower Case	2309	https://leetcode.com/problems/greatest-english-letter-in-upper-and-lower-case/
1082	leetcodeTitles	python	Next Greater Element II	503	https://leetcode.com/problems/next-greater-element-ii/
1083	leetcodeTitles	python	Majority Element II	229	https://leetcode.com/problems/majority-element-ii/
1084	leetcodeTitles	python	Count Common Words With One Occurence	2085	https://leetcode.com/problems/count-common-words-with-one-occurrence/
1085	leetcodeTitles	python	Occurences After Bigram	1078	https://leetcode.com/problems/occurrences-after-bigram/
1086	leetcodeTitles	python	Array of Doubled Pairs	954	https://leetcode.com/problems/array-of-doubled-pairs/
1087	leetcodeTitles	python	Reverse Words in a String III	557	https://leetcode.com/problems/reverse-words-in-a-string-iii/
1088	leetcodeTitles	python	Prime Number of Set Bits in Binary Representation	762	https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/
1089	leetcodeTitles	python	Sort Array By Parity	905	https://leetcode.com/problems/sort-array-by-parity/
1090	leetcodeTitles	python	Shortest Subarray to be Removed to Make Array Sorted	1574	https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted/
1091	leetcodeTitles	python	Check if Array Is Sorted and Rotated	1752	https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/
1092	leetcodeTitles	python	Check if Binary String Has at Most One Segment of Ones	1784	https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones/
1093	leetcodeTitles	python	Count Sample Sum Triples	1925	https://leetcode.com/problems/count-square-sum-triples/
1094	leetcodeTitles	python	Palindrome Number	9	https://leetcode.com/problems/palindrome-number/
1095	leetcodeTitles	python	Valid Anagram	242	https://leetcode.com/problems/valid-anagram/
1096	leetcodeTitles	python	Powerful Integers	970	https://leetcode.com/problems/powerful-integers/
1097	leetcodeTitles	python	Minimum Difference Between Largest and Smallest Value in Three Moves	1509	https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/
1098	leetcodeTitles	python	Number of Subarrays with Bounded Maximum	795	https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/
1099	leetcodeTitles	python	Longest Palindromic Subsequence	516	https://leetcode.com/problems/longest-palindromic-subsequence/
1100	leetcodeTitles	python	Decompress Run-Length Encoded List	1313	https://leetcode.com/problems/decompress-run-length-encoded-list/
1101	leetcodeTitles	python	Delete Node in a Linked List	237	https://leetcode.com/problems/delete-node-in-a-linked-list/
1102	leetcodeTitles	python	Minimum Operations to Halve Array Sum	2208	https://leetcode.com/problems/minimum-operations-to-halve-array-sum/
1103	leetcodeTitles	python	Fraction to Recurring Decimal	166	https://leetcode.com/problems/fraction-to-recurring-decimal/
1104	leetcodeTitles	python	Add to Array-Form of Integer	989	https://leetcode.com/problems/add-to-array-form-of-integer/
1105	leetcodeTitles	python	Sqrt(x)	69	https://leetcode.com/problems/sqrtx/
1106	leetcodeTitles	python	Average of Levels in Binary Tree	637	https://leetcode.com/problems/average-of-levels-in-binary-tree/
1107	leetcodeTitles	python	Reorganize String	767	https://leetcode.com/problems/reorganize-string/
1108	leetcodeTitles	python	Power of Two	231	https://leetcode.com/problems/power-of-two/
1109	leetcodeTitles	python	Check if the Sentence is Pangram	1832	https://leetcode.com/problems/check-if-the-sentence-is-pangram/
1110	leetcodeTitles	python	Intersection of Two Arrays II	350	https://leetcode.com/problems/intersection-of-two-arrays-ii/
1111	leetcodeTitles	python	Successful Pairs of Spells and Potions	2300	https://leetcode.com/problems/successful-pairs-of-spells-and-potions/
1112	leetcodeTitles	python	Convert Number to Hexadecimal	405	https://leetcode.com/problems/convert-a-number-to-hexadecimal/
1113	leetcodeTitles	python	Jewels and Stones	771	https://leetcode.com/problems/jewels-and-stones/
1114	leetcodeTitles	python	Subtree of Another Tree	572	https://leetcode.com/problems/subtree-of-another-tree//
1115	leetcodeTitles	python	Minimum Difference Between Highest and Lowest of K Scores	1984	https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/
1116	leetcodeTitles	python	Number of Days Between Two Dates	1360	https://leetcode.com/problems/number-of-days-between-two-dates/
1117	leetcodeTitles	python	House Robber	198	https://leetcode.com/problems/house-robber/
1118	leetcodeTitles	python	Super Ugly Number	313	https://leetcode.com/problems/super-ugly-number/
1119	leetcodeTitles	python	Maximum Square	221	https://leetcode.com/problems/maximal-square/
1120	leetcodeTitles	python	Maximum XOR of Two Numbers in an Array	421	https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
1121	leetcodeTitles	python	Maximum Subarray	53	https://leetcode.com/problems/maximum-subarray/
1122	leetcodeTitles	python	Shuffle String	1528	https://leetcode.com/problems/shuffle-string/
1123	leetcodeTitles	python	Reverse Substrings Between Each Pair of Parentheses	1190	https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/
1124	leetcodeTitles	python	Minimum Falling Path Sum	931	https://leetcode.com/problems/minimum-falling-path-sum/
1125	leetcodeTitles	python	Check If All 1's Are at Least Length K Places Away	1437	https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/
1126	leetcodeTitles	python	Maximum Length of Pair Chain	646	https://leetcode.com/problems/maximum-length-of-pair-chain/
1127	leetcodeTitles	python	Array Partition	561	https://leetcode.com/problems/array-partition/
1128	leetcodeTitles	python	Contains Duplicate II	219	https://leetcode.com/problems/contains-duplicate-ii/
1129	leetcodeTitles	python	Determine Whether Matrix Can Be Obtained By Rotation	1886	https://leetcode.com/problems/determine-whether-matrix-can-be-obtained-by-rotation/
1130	leetcodeTitles	python	Count Submatrices With All Ones	1504	https://leetcode.com/problems/count-submatrices-with-all-ones/
1131	leetcodeTitles	python	Pseudo-Palindromic Paths in a Binary Tree	1457	https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/
1132	leetcodeTitles	python	Univalued Binary Tree	965	https://leetcode.com/problems/univalued-binary-tree/
1133	leetcodeTitles	python	Destroying Asteroids	2126	https://leetcode.com/problems/destroying-asteroids/
1134	leetcodeTitles	python	Subsets II	90	https://leetcode.com/problems/subsets-ii/
1135	leetcodeTitles	python	Find Words That Can Be Formed by Characters	1160	https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/
1136	leetcodeTitles	python	Longest Increasing Subsequence	300	https://leetcode.com/problems/longest-increasing-subsequence/
1137	leetcodeTitles	python	Subarray Sums Divisible by K	974	https://leetcode.com/problems/subarray-sums-divisible-by-k/
1138	leetcodeTitles	python	Minimum Absolute Difference in BST	530	https://leetcode.com/problems/minimum-absolute-difference-in-bst/
1139	leetcodeTitles	python	Largest Number At Least Twice of Others	747	https://leetcode.com/problems/largest-number-at-least-twice-of-others/
1140	leetcodeTitles	python	To Lower Case	709	https://leetcode.com/problems/to-lower-case/
1141	leetcodeTitles	python	Running Sum of 1d Array	1480	https://leetcode.com/problems/running-sum-of-1d-array/
1142	leetcodeTitles	python	Thousand Separator	1556	https://leetcode.com/problems/thousand-separator/
1143	leetcodeTitles	python	The kth Factor of n	1492	https://leetcode.com/problems/the-kth-factor-of-n/
1144	leetcodeTitles	python	Binary Tree Paths	257	https://leetcode.com/problems/binary-tree-paths/
1145	leetcodeTitles	python	Number of Islands	200	https://leetcode.com/problems/number-of-islands/
1146	leetcodeTitles	python	Sequential Digits	1291	https://leetcode.com/problems/sequential-digits/
1147	leetcodeTitles	python	Longest Univalue Path	687	https://leetcode.com/problems/longest-univalue-path/
1148	leetcodeTitles	python	Minimum Operations to Reduce X to Zero	1658	https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/
1149	leetcodeTitles	python	Shortest Unsorted Continuous Subarray	581	https://leetcode.com/problems/shortest-unsorted-continuous-subarray/
1150	leetcodeTitles	python	Reverse String	344	https://leetcode.com/problems/reverse-string/
1151	leetcodeTitles	python	Find Bottom Left Tree Value	513	https://leetcode.com/problems/find-bottom-left-tree-value/
1152	leetcodeTitles	python	Minimum Time Difference	539	https://leetcode.com/problems/minimum-time-difference/
1153	leetcodeTitles	java	Valid Anagram	242	https://leetcode.com/problems/valid-anagram/
1154	leetcodeTitles	java	Keys and Rooms	841	https://leetcode.com/problems/keys-and-rooms/
1155	leetcodeTitles	java	Complement of Base 10 Integer	1009	https://leetcode.com/problems/complement-of-base-10-integer/
1156	leetcodeTitles	java	Remove Duplicates from Sorted List II	82	https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/
1157	leetcodeTitles	java	Pascal's Triangle II	119	https://leetcode.com/problems/pascals-triangle-ii/
1158	leetcodeTitles	java	Stock Price Fluctuation	2034	https://leetcode.com/problems/stock-price-fluctuation/
1159	leetcodeTitles	java	All Ancestors of a Node in a Directed Acyclic Graph	2192	https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/
1160	leetcodeTitles	java	Make Sum Divisible by P	1590	https://leetcode.com/problems/make-sum-divisible-by-p/
1161	leetcodeTitles	java	Generate Random Point in a Circle	478	https://leetcode.com/problems/generate-random-point-in-a-circle/
1162	leetcodeTitles	java	Adding Two Negabinary Numbers	1073	https://leetcode.com/problems/adding-two-negabinary-numbers/
1163	leetcodeTitles	java	Linked List Components	817	https://leetcode.com/problems/linked-list-components/
1164	leetcodeTitles	java	Display Table of Food Orders in a Restaurant	1418	https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/
1165	leetcodeTitles	java	Statistics from a Large Sample	1093	https://leetcode.com/problems/statistics-from-a-large-sample/
1166	leetcodeTitles	java	Keyboard Row	500	https://leetcode.com/problems/keyboard-row/
1167	leetcodeTitles	java	Construct the Lexicographically Largest Valid Sequence	1718	https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/
1168	leetcodeTitles	java	Plus One	66	https://leetcode.com/problems/plus-one/
1169	leetcodeTitles	java	Coordinate With Maximum Network Quality	1620	https://leetcode.com/problems/coordinate-with-maximum-network-quality/
1170	leetcodeTitles	java	Number of Good Ways to Split a String	1525	https://leetcode.com/problems/number-of-good-ways-to-split-a-string/
1171	leetcodeTitles	java	Binary Search Tree Iterator	173	https://leetcode.com/problems/binary-search-tree-iterator/
1172	leetcodeTitles	java	Minimum Operations to Make a Uni-Value Grid	2033	https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/
1173	leetcodeTitles	java	Construct Binary Search Tree from Preorder Traversal	1008	https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/
1174	leetcodeTitles	java	Divisor Game	1025	https://leetcode.com/problems/divisor-game/
1175	leetcodeTitles	java	Validate Stack Sequences	946	https://leetcode.com/problems/validate-stack-sequences/
1176	leetcodeTitles	java	Find the Middle Index in Array	1991	https://leetcode.com/problems/find-the-middle-index-in-array/
1177	leetcodeTitles	java	Minimum Deletions to Make Array Beautiful	2216	https://leetcode.com/problems/minimum-deletions-to-make-array-beautiful/
1178	leetcodeTitles	java	Count Asterisks	2315	https://leetcode.com/problems/count-asterisks/
1179	leetcodeTitles	java	Check if a Parentheses String Can be Valid	2116	https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/
1180	leetcodeTitles	java	Partition Array Into Three Parts With Equal Sum	1013	https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/
1181	leetcodeTitles	java	H-Index II	275	https://leetcode.com/problems/h-index-ii/
1182	leetcodeTitles	java	Maximum Nesting Depth of Two Valid Parentheses Strings	1111	https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings/
1183	leetcodeTitles	java	Eliminate Maximum Number of Monsters	1921	https://leetcode.com/problems/eliminate-maximum-number-of-monsters/
1184	leetcodeTitles	java	Minimum Path Cost in a Grid	2304	https://leetcode.com/problems/minimum-path-cost-in-a-grid/
1185	leetcodeTitles	java	Shortest Path with Alternating Colors	1129	https://leetcode.com/problems/shortest-path-with-alternating-colors/
1186	leetcodeTitles	java	Maximum Number of Occurrences of a Substring	1297	https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/
1187	leetcodeTitles	java	Lowest Common Ancestor of a Binary Tree	236	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
1188	leetcodeTitles	java	Word Search	79	https://leetcode.com/problems/word-search/
1189	leetcodeTitles	java	Minimum Deletions to Make String Balanced	1653	https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/
1190	leetcodeTitles	java	Number of Steps to Reduce a Number in Binary Representation to One	1404	https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/
1191	leetcodeTitles	java	Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts	1465	https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/
1192	leetcodeTitles	java	Reverse Nodes in Even Length Groups	2074	https://leetcode.com/problems/reverse-nodes-in-even-length-groups/
1193	leetcodeTitles	java	Path with Maximum Probability	1514	https://leetcode.com/problems/path-with-maximum-probability/
1194	leetcodeTitles	java	Remove Linked List Elements	203	https://leetcode.com/problems/remove-linked-list-elements/
1195	leetcodeTitles	java	Find the Highest Altitude	1732	https://leetcode.com/problems/find-the-highest-altitude//
1196	leetcodeTitles	java	Ugly Number III	1201	https://leetcode.com/problems/ugly-number-iii/
1197	leetcodeTitles	java	Increasing Order Search Tree	897	https://leetcode.com/problems/increasing-order-search-tree/
1198	leetcodeTitles	java	Maximum Population Year	1854	https://leetcode.com/problems/maximum-population-year/
1199	leetcodeTitles	java	Minimum Lines to Represent a Line Chart	2280	https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/
1200	leetcodeTitles	java	Generate a String With Characters That Have Odd Counts	1374	https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/
1201	leetcodeTitles	java	All Possible Full Binary Trees	894	https://leetcode.com/problems/all-possible-full-binary-trees/
1202	leetcodeTitles	java	Find All Lonely Number in the Array	2150	https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/
1203	leetcodeTitles	java	Remove Comments	722	https://leetcode.com/problems/remove-comments/
1204	leetcodeTitles	java	Bitwise ORs of Subarrays	898	https://leetcode.com/problems/bitwise-ors-of-subarrays/
1205	leetcodeTitles	java	Basic Calculator II	227	https://leetcode.com/problems/basic-calculator-ii/
1206	leetcodeTitles	java	Minimum Sum of Four Digit Number After Splitting Digits	2160	https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/
1207	leetcodeTitles	java	Deepest Leaves Sum	1302	https://leetcode.com/problems/deepest-leaves-sum/
1208	leetcodeTitles	java	Minimum Operations to Make Array Equal	1551	https://leetcode.com/problems/minimum-operations-to-make-array-equal/
1209	leetcodeTitles	java	Mini Parser	385	https://leetcode.com/problems/mini-parser/
1210	leetcodeTitles	java	Maximum Number of Balloons	1189	https://leetcode.com/problems/maximum-number-of-balloons/
1211	leetcodeTitles	java	Coin Change 2	518	https://leetcode.com/problems/coin-change-2/
1212	leetcodeTitles	java	Beautiful Arrangement II	667	https://leetcode.com/problems/beautiful-arrangement-ii/
1213	leetcodeTitles	java	Rectangle Area	223	https://leetcode.com/problems/rectangle-area/
1214	leetcodeTitles	java	Find Missing Observations	2028	https://leetcode.com/problems/find-missing-observations/
1215	leetcodeTitles	java	Number of Substrings With Only 1s	1513	https://leetcode.com/problems/number-of-substrings-with-only-1s/
1216	leetcodeTitles	java	Number of Ways to Split a String	1573	https://leetcode.com/problems/number-of-ways-to-split-a-string/
1217	leetcodeTitles	java	Container With Most Water	11	https://leetcode.com/problems/container-with-most-water/
1218	leetcodeTitles	java	Guess Number Higher or Lower	374	https://leetcode.com/problems/guess-number-higher-or-lower/
1219	leetcodeTitles	java	Reverse Vowels of a String	345	https://leetcode.com/problems/reverse-vowels-of-a-string/
1220	leetcodeTitles	java	Minimum Swaps to Arrange a Binary Grid	1536	https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/
1221	leetcodeTitles	java	Detonate the Maximum Bombs	2101	https://leetcode.com/problems/detonate-the-maximum-bombs/
1222	leetcodeTitles	java	Convert Binary Number in a Linked List to Integer	1290	https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/
1223	leetcodeTitles	java	Monotonic Array	896	https://leetcode.com/problems/monotonic-array/
1224	leetcodeTitles	java	Find Center of Star Graph	1791	https://leetcode.com/problems/find-center-of-star-graph/
1225	leetcodeTitles	java	Unique Email Addresses	929	https://leetcode.com/problems/unique-email-addresses/
1226	leetcodeTitles	java	The Number of the Smallest Unoccupied Chair	1942	https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/
1227	leetcodeTitles	java	Where Will the Ball Fall	1706	https://leetcode.com/problems/where-will-the-ball-fall/
1228	leetcodeTitles	java	Wiggle Sort II	324	https://leetcode.com/problems/wiggle-sort-ii/
1229	leetcodeTitles	java	Maximum Difference Between Increasing Elements	2016	https://leetcode.com/problems/maximum-difference-between-increasing-elements/
1230	leetcodeTitles	java	Convert Integer to the Sum of Two No-Zero Integers	1317	https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/
1231	leetcodeTitles	java	Special Positions in a Binary Matrix	1582	https://leetcode.com/problems/special-positions-in-a-binary-matrix/
1232	leetcodeTitles	java	Sort Even and Odd Indices Independently	2164	https://leetcode.com/problems/sort-even-and-odd-indices-independently/
1233	leetcodeTitles	java	Minimum Number of Operations to Convert Time	2224	https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/
1234	leetcodeTitles	java	New 21 Game	837	https://leetcode.com/problems/new-21-game/
1235	leetcodeTitles	java	Simplified Fractions	1447	https://leetcode.com/problems/simplified-fractions/
1236	leetcodeTitles	java	Relative Sort Array	1122	https://leetcode.com/problems/relative-sort-array/
1237	leetcodeTitles	java	N-ary Tree Level Order Traversal	429	https://leetcode.com/problems/n-ary-tree-level-order-traversal/
1238	leetcodeTitles	java	Magical String	481	https://leetcode.com/problems/magical-string/
1239	leetcodeTitles	java	Repeated String Match	686	https://leetcode.com/problems/repeated-string-match/
1240	leetcodeTitles	java	Three Consecutive Odds	1550	https://leetcode.com/problems/three-consecutive-odds/
1241	leetcodeTitles	java	3Sum With Multiplicity	923	https://leetcode.com/problems/3sum-with-multiplicity/
1242	leetcodeTitles	java	Defuse the Bomb	1652	https://leetcode.com/problems/defuse-the-bomb/
1243	leetcodeTitles	java	Maximum Repeating Substring	1668	https://leetcode.com/problems/maximum-repeating-substring/
1244	leetcodeTitles	java	Search in Rotated Sorted Array	33	https://leetcode.com/problems/search-in-rotated-sorted-array/
1245	leetcodeTitles	java	Find And Replace in String	833	https://leetcode.com/problems/find-and-replace-in-string/
1246	leetcodeTitles	java	Maximum Width Ramp	962	https://leetcode.com/problems/maximum-width-ramp/
1247	leetcodeTitles	java	Calculate Digit Sum of a String	2243	https://leetcode.com/problems/calculate-digit-sum-of-a-string/
1248	leetcodeTitles	java	Circle and Rectangle Overlapping	1401	https://leetcode.com/problems/circle-and-rectangle-overlapping/
1249	leetcodeTitles	java	Check Wheter Two Strings are Almost Equivalent	2068	https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/
1250	leetcodeTitles	java	Add Digits	258	https://leetcode.com/problems/add-digits/
1251	leetcodeTitles	java	Sum of Subarray Ranges	2104	https://leetcode.com/problems/sum-of-subarray-ranges/
1252	leetcodeTitles	java	Greatest Common Divisor of Strings	1071	https://leetcode.com/problems/greatest-common-divisor-of-strings/
1253	leetcodeTitles	java	Single Number	136	https://leetcode.com/problems/single-number/
1254	leetcodeTitles	java	Count Items Matching a Rule	1773	https://leetcode.com/problems/count-items-matching-a-rule/
1255	leetcodeTitles	java	K-diff Pairs in an Array	532	https://leetcode.com/problems/k-diff-pairs-in-an-array/
1256	leetcodeTitles	java	Domino and Tromino Tiling	790	https://leetcode.com/problems/domino-and-tromino-tiling/
1257	leetcodeTitles	java	Maximum Average Pass Ratio	1792	https://leetcode.com/problems/maximum-average-pass-ratio/
1258	leetcodeTitles	java	Remove One Element to Make the Array Strictly Increasing	1909	https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/
1259	leetcodeTitles	java	Task Scheduler	621	https://leetcode.com/problems/task-scheduler/
1260	leetcodeTitles	java	Consecutive Characters	1446	https://leetcode.com/problems/consecutive-characters/
1261	leetcodeTitles	java	Count Servers that Communicate	1267	https://leetcode.com/problems/count-servers-that-communicate/
1262	leetcodeTitles	java	Minimum Time to Make Rope Colorful	1578	https://leetcode.com/problems/minimum-time-to-make-rope-colorful/
1263	leetcodeTitles	java	UTF-8 Validation	393	https://leetcode.com/problems/utf-8-validation/
1264	leetcodeTitles	java	Check If Two String Arrays are Equivalent	1662	https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/
1265	leetcodeTitles	java	Find Unique Binary String	1980	https://leetcode.com/problems/find-unique-binary-string/
1266	leetcodeTitles	java	Guess Number Higher or Lower II	375	https://leetcode.com/problems/guess-number-higher-or-lower-ii/
1267	leetcodeTitles	java	Binary Tree Level Order Traversal	102	https://leetcode.com/problems/binary-tree-level-order-traversal/
1268	leetcodeTitles	java	Jump Game II	227	https://leetcode.com/problems/jump-game-ii/
1269	leetcodeTitles	java	Convert 1D Array Into 2D Array	2022	https://leetcode.com/problems/convert-1d-array-into-2d-array/
1270	leetcodeTitles	java	Surface Area of 3D Shapes	892	https://leetcode.com/problems/surface-area-of-3d-shapes/
1271	leetcodeTitles	java	Maximum Difference Between Node and Ancestor	1026	https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/
1272	leetcodeTitles	java	X of a Kind in a Deck of Cards	914	https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/
1273	leetcodeTitles	java	Count of Matches in Tournament	1688	https://leetcode.com/problems/count-of-matches-in-tournament/
1274	leetcodeTitles	java	Largest Substring Between Two Equal Characteres	1624	https://leetcode.com/problems/largest-substring-between-two-equal-characters/
1275	leetcodeTitles	java	Remove K Digits	402	https://leetcode.com/problems/remove-k-digits/
1276	leetcodeTitles	java	Minimum Score Triangulation of Polygon	1039	https://leetcode.com/problems/minimum-score-triangulation-of-polygon/
1277	leetcodeTitles	java	Number of Closed Islands	1254	https://leetcode.com/problems/number-of-closed-islands/
1278	leetcodeTitles	java	Maximum Number of Non-Overlapping Subarrays With Sum Equals Target	1546	https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/
1279	leetcodeTitles	java	Insufficient Nodes in Root to Leaf Paths	1080	https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/
1280	leetcodeTitles	java	Convert to Base -2	1017	https://leetcode.com/problems/convert-to-base-2/
1281	leetcodeTitles	java	Count Elements With Strictly Smaller and Greater Elements	2148	https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements/
1282	leetcodeTitles	java	Partition Array for Maximum Sum	1043	https://docs.google.com/spreadsheets/d/1MUtHfwbkWO4W69NaNiwv_hgABNfXZu2M69PNgL8PBXs/edit#gid=0
1283	leetcodeTitles	java	Sum of Numbers With Units Digit K	2310	https://leetcode.com/problems/sum-of-numbers-with-units-digit-k/
1284	leetcodeTitles	java	Contains Duplicate	217	https://leetcode.com/problems/contains-duplicate/
1285	leetcodeTitles	java	Minimum Number of Days to Make m Bouquets	1482	https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
1286	leetcodeTitles	java	Number of Lines To Write String	806	https://leetcode.com/problems/number-of-lines-to-write-string/
1287	leetcodeTitles	java	Set Mismatch	645	https://leetcode.com/problems/set-mismatch/
